Declaration ID,Date,Office ID,Process Type,Import Type,Import Use,Payment Type,Mode of Transport,Declarant ID,Importer ID,Seller ID,Courier ID,HS6 Code,Country of Departure,Country of Origin,Tax Rate,Tax Type,Country of Origin Indicator,Net Mass,Item Price,Fraud,Critical Fraud
30271171,2020-08-04,30,B,11,21,11,40,B372BYW,NB32JN1,3YX2U7K,,890200,JP,JP,0.0,A,E,298297.0,14527063.9,0,0
12770006,2020-08-19,20,B,11,21,43,10,DGIRSXL,8YQUEYT,TOBJ7H7,,190490,VN,VN,40.0,FAS1,G,20000.0,7122000.0,0,0
97164640,2021-02-05,30,B,15,21,11,10,B7HSX3C,D8ZT3FQ,7FKUK27,,970110,US,US,0.0,A,Y,12.0,5139.6,0,0
35668726,2020-01-23,40,B,11,21,11,40,3BTA0QN,QSBFCT0,D3XK1OR,,853890,MY,MY,8.0,A,G,54.8,1096.0,0,0
84461158,2021-02-04,40,B,11,21,11,40,E0AGTLM,YG96223,C15XLK8,,870324,DE,DE,0.0,FEU1,Y,2100.0,10920.0,1,1
76896819,2020-02-07,40,B,11,21,43,40,A7POIBB,JBNG2LI,B9RWW8H,,700231,CN,CN,0.0,FCN1,E,13500.0,5201550.0,0,0
29976729,2020-08-21,40,B,11,21,11,10,DWNJQL8,ZGM4023,IR57BHP,,902690,JP,JP,0.0,C,E,21.0,96.6,0,0
27137736,2021-02-04,20,B,11,21,11,40,37P1HWU,VFNOYA6,OEQKUOR,,760612,DE,DE,0.0,FEU1,Y,54570.0,32627403.0,0,0
36771878,2021-02-01,40,B,11,21,43,40,PF1L1IG,I0386Q8,FGFSDDL,,610910,CN,CN,13.0,A,E,16.0,249.6,0,0
60004256,2020-06-25,40,B,11,21,11,10,E0AGTLM,BFMYR2G,42R7S9H,,853921,JP,JP,8.0,A,B,6.0,5430.6,1,1
27482996,2020-08-25,40,B,94,21,18,40,QZE38LM,3YQ2XUF,P75JR02,W6UCD9,846792,US,CH,8.0,A,E,7.0,8402.1,1,1
96101712,2021-06-10,30,B,11,21,43,10,UFO3ZSU,5BQR2AK,CSUK3BM,,620453,CN,CN,8.1,E1,Y,25.0,1000.0,0,0
88910114,2021-01-18,40,B,87,21,11,40,DWNJQL8,NIA22ZN,BDHA5O6,W6UCD9,901910,CN,CN,0.0,FCN1,E,1275.0,6630.0,0,0
49319446,2020-07-23,40,B,11,21,11,10,46VGCQF,E808G5S,76PSB27,,640299,CN,CN,13.0,A,S,153.0,40835.7,0,0
29753221,2020-04-27,30,B,11,21,43,10,OQY4ZUC,YLY7WIH,CMVCO4M,,630790,VN,VN,10.0,A,E,256.0,588.8,0,0
42013314,2020-03-30,20,B,87,21,11,40,QFX9UAR,4H5581M,80G0A28,,970190,AZ,DE,0.0,A,G,210.0,8694.0,1,1
35494487,2021-03-26,20,B,11,21,11,10,YT5HTTE,4TNV14J,L6EUUIV,,392092,US,US,6.5,C,B,90.0,145737.0,0,0
94391505,2020-04-13,30,B,11,21,11,10,2A154KV,F26GCXC,8TF3OLD,,854470,CN,CN,0.0,C,G,3480.0,145812.0,0,0
10791921,2020-03-02,40,B,11,21,43,40,DWNJQL8,M9GVCC8,X0R6BR2,MWIDNS,950490,CN,CN,0.0,C,G,28.5,1467.75,1,1
55185877,2021-05-14,40,B,11,21,11,40,QP9FXOK,M9V92UG,MI18ISG,,610910,HK,VN,0.0,FVN1,E,94.2,1469.52,0,0
95377242,2020-04-23,40,B,11,21,43,40,NFTXIMF,YSU1I0D,NT2A42Y,,820840,DE,FR,0.0,FEU1,G,603.0,942066.9,0,0
45219099,2021-04-12,20,B,11,21,11,10,OZB7KED,7QZWAW1,,,540743,CN,KR,8.0,A,G,97.1,309040.17,0,0
23551511,2021-02-09,20,B,11,21,11,40,CCG16WC,QK15HYK,SABCP6J,,611030,CN,CN,13.0,A,Y,5.0,464.0,0,0
83055544,2020-08-31,40,B,11,21,11,10,31SXC12,KYT3K4R,XB0PB0F,,391590,CA,CA,0.0,FCA1,B,19130.0,3387923.0,0,0
16165977,2020-12-01,16,B,22,21,14,40,IBDU122,P36MQTO,KHN6V71,,392330,CN,CN,3.9,FCN1,S,45.0,454.5,0,0
46875416,2020-02-04,80,B,11,21,11,10,43MSLZK,SCAG0OH,N825BDI,,71080,CN,CN,27.0,A,E,24500.0,7183400.0,0,0
95695344,2021-01-25,30,B,11,21,11,10,9H8F77Y,CB9WBTZ,UNCISOP,,490199,US,US,0.0,C,G,4.1,14.76,0,0
28389744,2020-01-28,30,B,11,21,11,10,GO1EBDS,DVWBGW7,DZP9PQT,,847180,GB,GB,0.0,C,G,0.7,527.38,0,0
48896796,2020-06-22,20,B,11,21,11,10,GO1EBDS,NXZGW6G,O9QXSRZ,,853931,CN,CN,4.8,FCN1,B,8846.7,9193490.64,0,0
15248596,2020-10-09,33,B,11,21,11,40,N12W66C,OQTR4MK,HHMCYU0,,870324,US,US,0.0,FUS1,S,2082.0,14157600.0,0,0
70672025,2020-11-23,40,B,15,23,11,40,CXWWNWO,LJ8X7OM,BIORP0A,,392690,JP,JP,6.5,C,G,5.5,3.3,0,0
89466069,2020-11-17,40,B,11,21,11,10,H1ZUISK,HWVJ1I3,M6DTXEO,,100590,UA,UA,0.0,P1,Y,2806581.0,286271262.0,0,0
91045655,2020-08-21,40,B,11,21,11,40,7S4CPMV,IU16BT1,ZG1BT2Q,,30821,JP,RU,20.0,A,G,36.0,24904.8,0,0
29239946,2020-12-07,40,B,88,21,11,40,626DNVO,VXG6QL7,40FMRAA,W6UCD9,611599,HK,CN,13.0,A,Y,3.3,672.54,0,0
25078204,2020-04-02,20,B,11,21,11,10,46DSL5H,AI1JGDK,E3GNTZG,,842139,BE,DE,5.0,F,B,9.0,3675.6,1,1
68811485,2021-03-12,40,B,11,21,18,10,OZB7KED,QWINVIE,,,382312,MY,MY,0.0,FAS1,G,19860.0,6855672.0,0,0
69394298,2020-11-24,40,B,11,21,11,10,PF1L1IG,8HAYOGQ,BNT9G68,,620892,CN,CN,13.0,A,E,514.2,42472.92,0,0
53381725,2021-01-22,20,B,11,21,11,50,E3Q8ABV,44R30E3,M79LJCU,,71080,CN,CN,27.0,A,E,49000.0,14366800.0,0,0
58459989,2020-12-10,20,B,11,21,11,10,9UJYLGT,GEXD3K2,,,711719,CN,CN,0.0,FCN1,B,644.1,7729.200000000003,1,1
88820867,2020-09-18,30,B,11,21,11,10,7S4CPMV,BFMYR2G,0SJITJ7,,620530,MM,MM,0.0,FAS1,G,2040.0,707880.0,0,0
37354221,2020-03-31,20,B,11,21,11,10,5WBN4AQ,N9INWXL,UAY3GYD,,391530,JP,JP,6.5,C,G,23850.0,374445.0,0,0
97603090,2020-01-09,30,B,11,21,43,10,M3WMW25,A4R2DFB,5PUI90I,,851822,CN,CN,6.0,C,E,190.4,27017.76,0,0
28193135,2021-04-07,20,B,11,21,11,10,6T0AJ3G,TFN07BN,Q4LMGFL,,220299,TH,TH,5.0,FAS1,B,3200.0,792960.0,0,0
71903876,2020-10-12,20,B,11,11,11,10,NZYZ967,RM1BT9M,UXX1AJX,,848620,KR,KR,0.0,CIT,S,5116.3,30043936.86,0,0
74348648,2020-02-12,40,B,11,21,11,10,H4TRKS6,RHHWF0C,HIOOYI9,,330499,JP,KR,6.5,C,Y,964.5,258196.65,0,0
96216271,2021-03-02,40,B,11,21,43,40,OHE0O8U,TUXRKWH,GCPNHU7,,650610,DE,FR,8.0,A,Y,38.0,8101.599999999998,0,0
10722114,2020-08-27,13,B,87,11,11,10,0FWK4FA,3A0SE57,C4WZSBJ,,420212,CN,CN,3.2,FCN1,S,9840.0,1221144.0,0,0
75843857,2020-11-24,20,B,11,21,11,10,L5GONLU,QLZW6LG,9SS326B,,630790,CN,CN,4.0,FCN1,B,820.0,1886.0,0,0
68706429,2020-12-23,20,B,15,21,11,10,FI9N1BX,ZL20NVX,K76UOWY,,390950,SG,IT,6.5,C,B,5000.0,2203500.0,0,0
19453737,2020-09-09,20,B,11,11,43,10,E189VWP,5BFUSI9,NHYMUJM,,850490,VN,CN,0.0,CIT,B,47.0,11341.1,1,1
20825781,2020-01-14,20,B,11,21,43,10,V5FCG3P,40EARXQ,QYI6WXV,MWIDNS,848180,DE,PT,0.0,FEU1,S,81.6,4773.599999999999,0,0
70228806,2020-10-26,20,B,11,21,11,10,6A0CUH8,3BFUK83,EBCG4QU,,851762,US,KR,0.0,CIT,B,110.0,103917.0,0,0
31853494,2020-05-04,20,B,11,21,14,40,1HMVIVH,3ST8I7W,BCTIFJS,MWIDNS,950790,CN,CN,0.0,FCN1,E,6.4,82.56,1,1
22509742,2020-12-08,30,B,11,11,11,40,787INA6,FRX714J,E44MM7Y,,940520,DE,CN,8.0,A,E,11.5,3322.35,1,1
61669887,2021-04-12,20,B,11,21,11,10,E3Q8ABV,XK0WKOO,6ZQTY16,,392620,CN,CN,8.0,A,Y,1398.0,66125.4,0,0
89128230,2020-08-26,40,B,11,21,43,40,F463TSU,O3QUF31,1VRR8DV,,540761,CN,CN,0.0,FCN1,G,950.0,535515.0,0,0
49266617,2021-06-11,20,B,11,21,11,10,1U0VYZN,7R3X6UD,K57LRJC,,20120,US,US,16.0,FUS1,G,383.8,1064622.82,0,0
10494848,2020-03-10,20,B,11,21,11,10,23TMRU0,PIM539Y,CSUK3BM,,848790,KR,JP,8.0,A,E,0.4,191.04,1,1
35339226,2021-03-08,16,B,11,21,11,10,W3BJFZP,OTS6QUK,XA5VOUF,,961610,CN,CN,2.4,FCN1,B,2952.0,49888.8,1,1
82919106,2020-11-16,40,B,87,21,18,40,OZB7KED,1YB4G9F,UNCISOP,W6UCD9,730799,US,US,0.0,FUS1,Y,8.0,327.2,0,0
79616622,2020-09-07,40,B,11,21,18,10,B2O7CWF,66S8QC6,MJ08DSW,,420222,JP,US,8.0,A,E,2.8,26.88,0,0
71024138,2020-11-23,20,B,87,21,43,40,WBQKENF,N71S191,827ZWS0,W6UCD9,848690,TW,JP,0.0,C,E,7.7,4412.1,0,0
97805506,2021-04-21,40,B,11,21,11,40,6T0AJ3G,7JV4WMX,,,902730,CN,CN,0.0,C,E,29.0,37004.0,0,0
68982982,2021-02-01,40,B,15,21,11,40,Q4SMFNB,FDU3NTW,3QTTSV0,,853890,JP,JP,8.0,A,Y,24.8,496.0,0,0
61889516,2021-04-26,39,B,11,21,11,10,M96WZP8,X13QD20,MKLIOFC,MC8NDR,392690,CN,CN,3.9,FCN1,E,502.0,301.2,0,0
71500023,2021-04-26,20,B,89,26,11,10,NB30P6B,CIR5FS5,EGW9NAI,,392690,CN,KR,6.5,C,S,11.0,6.6,0,0
23115083,2021-02-09,40,B,11,21,11,40,37ZL1DV,ALD7H7V,COR8NN9,,854370,CN,CN,4.8,FCN1,E,1280.0,3642112.0,0,0
63689493,2020-12-02,40,B,11,21,11,40,99CKSHY,1VHJG03,,,870323,DE,DE,0.0,FEU1,G,1815.0,6672484.5,0,0
28472040,2021-02-04,20,B,11,21,43,40,JS0RSCD,KH39Z8W,2NIEL3P,,600330,CN,CN,10.0,A,B,32.0,38627.2,0,0
14708154,2020-03-05,20,B,11,21,11,10,E3Q8ABV,FA8GFEC,RKYHUZ9,,392119,SE,DE,6.5,C,G,7.0,20414.8,0,0
94488206,2020-08-03,20,B,11,21,11,10,RWYXI0J,IORYHYR,N626KMP,,820590,CN,CN,0.0,FCN1,G,945.0,60669.0,0,0
89551722,2020-10-08,40,B,11,11,11,40,RBKRC5B,0X4VHMV,039ZX3U,,610910,IT,IT,0.0,FEU1,G,3.0,46.8,0,0
98995720,2020-09-10,20,B,11,21,11,40,H3RWZG0,BAMA2YV,,,482110,ES,ES,0.0,C,G,0.7,0.77,0,0
55188837,2020-10-28,20,B,11,21,11,10,6T0AJ3G,U71WUN6,E44MM7Y,,390330,CN,CN,0.0,FCN1,S,30.0,5556.0,0,0
40860345,2020-09-23,40,B,11,21,18,40,1HMVIVH,Z7L90W6,IT5HOJP,VZIZJJ,392690,CN,CN,3.9,FCN1,E,475.0,285.0,0,0
15856306,2020-05-28,40,B,87,21,11,10,PF1L1IG,J0T5386,3MZR1DV,MWIDNS,851712,CN,CN,0.0,C,E,5.0,104565.0,0,0
92213689,2021-03-23,20,B,11,21,43,40,L5GONLU,1F60CG6,6AAH0TS,,621149,DE,BA,13.0,A,Y,2.0,261.2,1,1
66546252,2021-03-19,20,B,11,23,11,10,21DXEF6,I2F36L7,0XYL57P,,711719,CN,CN,8.0,A,Y,20.0,1364.0,0,0
22658115,2020-08-19,30,B,11,21,43,10,JEOUGPP,20U77KP,BXJ2N21,,550921,ID,ID,0.0,FAS1,E,19051.2,12947195.52,0,0
59500615,2020-08-10,40,B,11,21,11,40,FG66YE1,HW4Y5IE,MSP8WTC,,291532,US,US,5.5,C,G,15.1,1541435.18,1,1
60022583,2020-07-06,40,B,11,21,11,10,OZB7KED,F7PSD3R,KBV1IYS,,851770,HK,CN,0.0,CIT,E,55.0,10180.5,0,0
10968966,2020-04-02,50,B,11,28,11,50,9Z8AYH4,Y2FJ95S,RDPNY9W,,190590,TW,TW,5.0,A,E,3521.8,1845071.02,0,0
28313475,2020-03-24,17,B,11,21,11,40,S0DA2NO,UZWZKGZ,H3AVOXC,,382499,CN,CN,0.0,FCN1,S,1868.5,23356.25,0,0
59849756,2020-03-28,30,B,11,21,11,10,QVZVIED,L80YQ6B,UMAUW7B,,392690,CN,CN,3.9,FCN1,E,27.5,16.5,0,0
71004788,2020-08-10,20,B,87,21,18,10,S0DA2NO,Y7HAPEK,S3KRRYW,,620433,CN,CN,13.0,A,E,50.0,12570.0,1,1
13084844,2020-05-25,39,B,11,21,11,10,JS0RSCD,E2OEFO7,ZUKFJLL,,852910,CN,CN,4.9,CIT,E,45.0,6943.500000000001,0,0
36560459,2020-06-01,20,B,11,21,11,10,ZQJIYI3,1PEIC8Y,GKXFPGY,,870192,US,US,8.0,A,S,1200.0,3174120.0,0,0
65761525,2020-10-25,30,B,11,21,11,10,626DNVO,4MGWKUS,7JUUMOF,,420221,IT,IT,0.0,FEU1,S,1.0,30.8,0,0
57284536,2021-01-22,30,B,11,21,43,40,DB7JDWC,VO2A69X,UEDPRGB,,30192,CN,CN,20.0,L,G,5010.0,22632675.0,0,0
80501554,2021-04-19,20,B,11,21,43,40,4QJLUKY,52V8T8F,LL80C0X,W5AYVM,71190,CN,CN,27.0,A,E,18000.0,1324800.0,0,0
43262253,2020-01-06,40,B,11,21,11,10,K43BSIF,EMK8NJ5,UNCISOP,,841459,HK,HU,8.0,A,E,0.5,32.05,0,0
56473431,2021-05-17,30,B,11,21,43,10,DB9B0VN,1VHJG03,GU9NXLA,,847990,VN,KR,8.0,A,G,4.0,29279.2,0,0
92005380,2021-03-08,40,B,11,21,11,40,D88DTE8,7SJZ7P2,BFGFSK6,,841391,CN,CN,8.0,A,Y,2.0,118.6,1,1
53574845,2021-02-15,40,B,11,21,11,40,ZCCITFI,3OFLK2K,4KKFVL4,,70320,CN,CN,360.0,W2,G,72000.0,17474400.0,0,0
29176504,2021-03-02,20,B,11,21,11,10,DB9B0VN,L3G8ZY0,X3MP3T4,,390720,US,US,0.0,FUS1,G,16000.0,10513600.0,0,0
71072133,2021-03-08,20,B,11,21,43,40,ZGNH4UK,4JJTYRL,YDJDL79,,71080,CN,CN,27.0,A,G,100000.0,26520000.0,0,0
68981789,2020-02-27,40,B,11,21,11,10,2PDED6U,4IASM3G,039WJSX,,940490,NL,NL,0.0,FEU1,B,2.3,53.13,0,0
86971555,2020-03-24,20,B,11,21,11,10,7N4H6JC,YIPIRLF,3TDTGV9,,490199,ES,KR,0.0,A,Y,1.6,5.7600000000000025,0,0
23171304,2021-03-30,20,B,11,21,11,10,5U5EWL2,H7QY1NJ,2HHJCGU,,490290,JP,JP,0.0,A,E,0.3,187.32,0,0
38994415,2020-01-23,16,B,15,21,13,40,FHKA3XD,3I4LV1D,7G0TPQR,,392690,CZ,CZ,6.5,C,G,17.0,10.2,0,0
87927159,2020-02-06,30,B,11,21,11,10,90QOU11,Y7G5CF4,XUR1GYY,,940421,CN,CN,8.0,A,G,71.9,19513.66,0,0
50389060,2021-03-29,20,B,11,21,11,40,6S2EESU,G94SIRF,PNLS7G7,,210690,JP,JP,8.0,A,B,309.0,39088.5,0,0
52915950,2021-03-31,40,B,11,21,43,40,7OB24ZT,IOC2G1X,5HC6ZZD,,300490,SG,US,8.0,A,G,0.6,3296.28,0,0
67195570,2020-02-20,40,B,11,21,43,40,DWNJQL8,A3ZRD8H,NPKQ6XY,,850980,CN,CN,0.0,FCN1,E,112.0,35179.200000000004,0,0
50045684,2020-04-03,20,B,11,21,43,40,E0AGTLM,5OU9E45,,,732393,CN,CN,0.0,FCN1,Y,8481.8,52587.16,1,1
19776754,2020-10-15,40,B,11,21,11,40,QZE38LM,XON4795,3W0CEOM,,842290,CN,CN,8.0,A,G,2.0,2920.8,1,1
95974906,2020-03-30,40,B,11,21,11,40,6Z6EYFS,BDJWVVI,IS1YATG,,71080,CN,CN,27.0,C,Y,24000.0,7036800.0,0,0
64335877,2021-02-03,40,B,11,21,11,40,4BZ746R,P1Z8YE9,YC4CX5Y,,392690,CN,CN,3.4,FCN1,E,40.0,24.0,0,0
24161940,2021-01-08,30,B,93,11,11,40,CHDHU6S,RI4OZLC,V5X7KEC,VZIZJJ,151800,JP,JP,8.0,A,B,81130.0,15357909.0,0,0
61491213,2020-08-03,20,B,11,21,11,10,PF1L1IG,I6ZZMA2,26RAMJV,,850431,CN,CN,8.0,A,S,3720.0,1225368.0,0,0
25729479,2020-03-10,20,B,11,21,11,10,FOVFD9M,EWKP0ZU,0SF1F1L,,320890,US,US,6.5,C,S,450.0,31500.0,0,0
13390962,2020-08-06,30,B,11,21,11,40,IYDJ16G,QB1D25K,TN3G2TM,,300590,CN,CN,0.0,C,Y,0.2,196.76,0,0
64502389,2020-11-16,40,B,11,21,18,40,OZB7KED,ZTEQ4XZ,FDSVJI5,MWIDNS,711790,JP,JP,8.0,A,E,2.6,53.82,0,0
29018222,2020-02-28,16,B,89,21,43,40,3L9AEFP,UIC0FQP,H5YT469,,610990,VN,VN,13.0,A,G,22.0,1375.0,0,0
41266202,2021-03-29,16,B,11,21,11,10,ZKB0LAL,BES92ZL,N19CS3Z,,291590,PH,PH,0.0,FAS1,S,15660.0,6990624.0,0,0
90952667,2020-09-04,40,B,89,21,11,10,UTNPOCA,ZCES2R0,OA2DR8O,,848071,CN,CN,0.0,FCN1,Y,125.0,51912.5,0,0
88784338,2020-06-01,16,B,29,11,11,10,RFVR9PS,7FTVSWP,AJU9XY4,LM3SJ4,520843,CN,CN,4.0,FCN1,G,510.0,325482.0,1,1
20338297,2020-10-15,20,B,11,21,43,40,4QADEO0,BFMYR2G,IK0FFSX,,611011,IT,CN,13.0,A,S,0.7,188.79,0,0
36331638,2021-01-06,30,B,11,21,11,10,H3RWZG0,ZC2X6M9,2V556L3,,710510,US,RO,5.0,A,S,7.0,50596.7,0,0
77612875,2021-06-03,40,B,11,21,11,40,5PDPMM1,R6PB354,GFVFFGL,,392350,SG,CN,6.5,C,Y,20.0,152.0,0,0
44862705,2021-05-20,20,B,11,21,11,10,4RRXV85,HSGH9IX,O9QXSRZ,,852859,CN,CN,3.2,FCN1,Y,190.0,152665.0,1,1
55568887,2020-04-07,40,B,11,21,11,10,HUIUK4E,E0BIR2P,HAFK3S1,,848790,CN,CN,8.0,A,G,38.0,18148.8,0,0
18113028,2020-06-17,20,B,11,21,11,10,FOVFD9M,I8B4AOM,IK0FFSX,,870324,US,CA,8.0,C,S,1766.0,15540.8,0,0
90197265,2020-08-19,40,B,11,21,11,10,WP8YGHF,86URLQC,MD8DMLE,,854370,HK,HK,8.0,A,Y,1.9,4.18,0,0
33771421,2020-06-25,40,B,11,11,11,10,UAU3QSC,CENWHHN,ZHFKR8O,,711719,VN,KR,8.0,A,S,4.0,7.2,0,0
98964835,2021-04-26,20,B,11,21,11,10,XCIAAPR,NXZGW6G,1LNQ37W,,660199,CN,CN,6.9,FCN1,S,3090.0,287988.0,1,1
78466175,2020-02-20,20,B,11,21,11,10,E5BS5N9,FNXNSVB,SZ07W7Z,,620690,CN,MA,13.0,A,E,3.2,926.72,0,0
55000380,2020-07-09,30,B,89,21,11,40,23TMRU0,6Q89IO8,QT2YNTM,,442090,VN,VN,8.0,A,B,11.5,19.55,0,0
37583152,2020-10-05,40,B,11,21,11,40,PF1L1IG,SZ9VW8N,HU8DG0Y,,950450,GB,GB,0.0,CIT,G,15.3,15345.9,0,0
20986632,2020-08-03,20,B,11,21,11,40,ZGNH4UK,7AW5DY7,S66AF0F,,847160,CN,CN,0.0,FCN1,Y,7.0,20449.8,0,0
61466092,2020-08-25,40,B,29,21,14,40,LWOBIKP,OIEFSID,4YJLSV6,,870899,CN,CN,8.0,A,B,180.0,1260.0,0,0
97212405,2020-01-31,33,B,55,21,18,10,N98WB7I,4CHS0L0,GIWWOZ6,30GFAP,300490,US,US,0.0,FUS1,B,10101.0,2808078.0,0,0
78840586,2020-08-06,40,B,11,21,11,10,PTZA4DW,N0IA5IE,LNYN5AJ,,30771,CN,CN,20.0,A,B,19000.0,5745600.0,0,0
80172262,2020-06-22,40,B,94,21,11,40,DWNJQL8,0G0200R,CSUK3BM,,420329,CN,CN,0.0,FCN1,E,65.8,445097.52,0,0
29843865,2020-10-15,30,B,11,21,11,40,H3RWZG0,QSZX1GO,THRIEMM,,848410,US,US,0.0,FUS1,G,2.6,482.3,0,0
61040154,2020-08-24,30,B,11,21,11,10,WLOJCAX,LGN9ZMM,HHR9JIP,,620829,CN,CN,13.0,A,B,1.7,1100.58,0,0
13421996,2021-02-04,16,B,11,21,11,10,TEZRJXM,7NM3239,6FXM1VJ,,847130,CN,CN,0.0,C,G,165.8,494200.06,0,0
29715746,2020-12-02,20,B,11,21,11,10,UTNPOCA,EVN40SJ,,,842199,CN,CN,5.0,F,G,150.0,870.0,1,2
76851987,2021-06-08,40,B,87,21,11,10,JJ1D4WY,LDUEBK6,EXQOH66,,848071,US,US,8.0,A,B,130.0,53989.0,1,1
81220035,2021-03-25,20,B,11,21,11,10,CY7AK0Q,XLOYLHZ,3R35590,,870323,US,DE,8.0,C,E,2095.0,20321.5,1,1
22092440,2020-09-23,50,B,83,21,14,50,CUSAU8B,7KGLWW5,N0I9A9X,,901890,IT,IT,0.0,FEU1,Y,2.8,140.83999999999995,1,1
68430952,2020-09-03,17,B,94,21,11,10,F90VOKE,8EGTZ4H,KH8ZSW8,M42A38,732393,GB,CN,8.0,A,B,11.3,70.06,0,0
87411985,2020-06-22,20,B,11,21,11,10,LPA7LKZ,NRAZX2B,5HUOCR4,,611780,JP,JP,13.0,A,E,132.8,8499.2,0,0
67461509,2020-05-20,40,B,11,21,11,10,B575QI9,YKIKY61,0RPLKHX,,71080,CN,CN,27.0,A,E,120000.0,31824000.0,1,1
36363152,2020-02-05,39,B,11,11,14,10,E6OW914,UM29B0M,ADQK3XK,,400400,US,US,0.0,FUS1,B,259200.0,336960.0,0,0
89570187,2020-12-31,40,B,87,21,11,10,A7POIBB,CEL9KRP,64AUFBX,,870899,US,MX,8.0,A,Y,26.5,185.5,1,1
31424686,2020-02-20,40,B,11,21,11,40,1HMVIVH,OPA7UU0,2OQZJ37,,392340,JP,JP,6.5,C,E,880.0,5544.0,0,0
49424330,2020-06-29,13,B,11,21,11,10,RZXCX7U,LCXPBAF,54AJQN7,,732189,CN,CN,5.6,FCN1,Y,729.0,12465.9,0,0
72100848,2021-01-11,40,B,11,21,11,40,R5P6P4N,VVGV901,4QC013K,,611599,JP,JP,13.0,A,E,10.0,2038.0,0,0
66153157,2020-06-29,40,B,11,21,43,10,R3N6ZU4,WZ1VLZ2,KVERRHL,,851830,CN,CN,6.0,C,Y,78.0,8439.6,0,0
49871682,2020-03-17,40,B,11,21,43,40,U8YJ1TN,MH8V0I9,0Q3WNO4,,901849,CN,CN,2.4,FCN1,E,42.5,14777.25,1,1
89904026,2020-06-08,30,B,86,21,11,40,H1U03NK,GFVA7XH,2RFV6UG,,320619,TH,TH,0.0,FAS1,Y,22000.0,15611200.0,1,1
72956346,2020-08-03,30,B,11,21,11,10,9UJYLGT,A4AYV34,KMOT1OW,,391530,KR,KR,6.5,C,G,411.0,6452.7,0,0
92581908,2021-02-23,30,B,11,21,43,40,3BTA0QN,4KDCW3L,8XEHFK4,,293621,CN,CN,2.6,FCN1,B,300.0,609000.0,0,0
51872412,2021-06-26,140,B,89,11,11,40,VKGYWHO,QJQ3TM7,TN3G2TM,,392310,CN,CN,6.5,CIT,E,2159.1,6909.12,0,0
86390629,2020-04-10,20,B,11,21,11,10,Y7GUHAF,NBYKGMJ,M1GPFV1,,491199,CN,CN,0.0,A,S,0.4,1.08,0,0
63405867,2020-03-10,30,B,11,21,11,10,DC4LEI7,QDTR8ZT,9M7OIEO,,845490,CN,CN,8.0,A,G,2283.0,1468197.3,0,0
44198809,2020-02-24,13,B,11,21,11,10,F86LJJM,5KW688C,UPMTAEY,,391910,CN,CN,6.5,C,G,2178.0,27225.0,0,0
32290871,2020-09-23,33,B,11,21,43,40,A7POIBB,4TNV14J,3O7OWQE,MWIDNS,91011,CN,CN,377.3,W2,Y,24000.0,4512000.0,0,0
96915975,2020-09-23,20,B,89,21,11,10,X2D9TDI,00F5KMD,M3O4128,,903040,CN,MY,0.0,CIT,B,104.0,1048226.4,1,1
